cap1,cap2,cap3,cap4,cap5,year,Bishop,patch.no
6,6,6,NA,NA,1994,1,1
6,1,4,NA,NA,1994,1,2
6,6,1,6,NA,1994,1,3
6,6,6,NA,NA,1994,1,4
6,2,6,NA,NA,1994,1,5
6,4,4,2,6,1994,1,6
6,6,4,NA,NA,1994,1,7
2,2,NA,NA,NA,1994,1,8
1,6,4,4,4,1994,1,9
2,6,NA,NA,NA,1994,1,10
1,1,6,NA,NA,1994,1,11
1,1,6,1,1,1994,1,12
6,6,NA,NA,NA,1994,0,13
6,NA,NA,NA,NA,1994,0,14
1,6,NA,NA,NA,1994,0,15
6,2,NA,NA,NA,1994,0,16
6,NA,NA,NA,NA,1994,0,17
3,2,6,NA,NA,1994,0,18
6,6,NA,NA,NA,1994,0,19
6,1,4,NA,NA,1994,0,20
4,6,NA,NA,NA,1994,0,21
6,6,NA,NA,NA,1994,0,22
6,NA,NA,NA,NA,1994,0,23
6,6,NA,NA,NA,1994,0,24
6,NA,NA,NA,NA,1994,0,25
6,NA,NA,NA,NA,1994,0,26
6,NA,NA,NA,NA,1994,0,27
6,NA,NA,NA,NA,1994,0,28
6,NA,NA,NA,NA,1994,0,29
6,NA,NA,NA,NA,1994,0,30
6,1,NA,NA,NA,1994,0,31
6,NA,NA,NA,NA,1994,0,32
2,6,NA,NA,NA,1994,0,33
6,6,NA,NA,NA,1994,0,34
6,6,NA,NA,NA,1994,0,35
2,3,NA,NA,NA,1994,0,36
2,NA,NA,NA,NA,1994,0,37
6,NA,NA,NA,NA,1994,0,38
6,NA,NA,NA,NA,1994,0,39
6,6,NA,NA,NA,1994,0,40
2,6,NA,NA,NA,1994,0,41
5,NA,NA,NA,NA,1994,0,42
4,2,NA,NA,NA,1994,0,43
4,NA,NA,NA,NA,1994,0,44
2,2,NA,NA,NA,1994,0,45
6,NA,NA,NA,NA,1994,0,46
6,6,NA,NA,NA,1994,0,47
6,NA,NA,NA,NA,1994,0,48
2,NA,NA,NA,NA,1994,0,49
6,NA,NA,NA,NA,1994,0,50
6,NA,NA,NA,NA,1994,0,51
NA,NA,NA,NA,NA,1994,0,52
6,NA,NA,NA,NA,1994,0,53
2,NA,NA,NA,NA,1994,0,54
4,NA,NA,NA,NA,1994,0,55
2,NA,NA,NA,NA,1994,0,56
6,6,6,NA,NA,1994,0,57
6,NA,NA,NA,NA,1994,0,58
NA,NA,NA,NA,NA,1994,0,59
2,NA,NA,NA,NA,1994,0,60
NA,NA,NA,NA,NA,1994,0,61
NA,NA,NA,NA,NA,1994,0,62
